,year_of_purchase,date_of_purchase,type,og_nr,wc_nr,product,amount_in_kg,price_per_kg,total_payment_usd
10148,2022,2022-09-07,og,2813.0,,Rosella (subdariffa) petals (org),80.0,1.1,88.0
10221,2022,2022-11-07,og,2813.0,,Rosella (subdariffa) petals (org),104.0,1.1,114.0
9181,2020,2020-07-24,og,2815.0,,Rosella (subdariffa) petals (org),77.4,1.1,82.44
9778,2021,2021-07-14,og,2815.0,,Rosella (subdariffa) petals (org),51.7,1.1,57.0
9540,2021,2021-08-24,og,2815.0,,Rosella (subdariffa) petals (org),22.0,1.1,24.0
10411,2022,2022-01-08,og,2815.0,,Rosella (subdariffa) petals (org),103.0,1.1,113.0
10492,2022,2022-08-24,og,2815.0,,Rosella (subdariffa) petals (org),182.0,1.1,200.0
10219,2022,2022-11-07,og,2815.0,,Rosella (subdariffa) petals (org),175.0,1.1,193.0
6741,2016,2016-07-21,og,2816.0,,Rosella (subdariffa) petals (org),19.0,1.1,21.0
7261,2017,2017-06-20,og,2816.0,,Rosella (subdariffa) petals (org),40.18,1.1,44.0
7304,2017,2017-06-22,og,2816.0,,Rosella (subdariffa) seed (org),3.5,0.5,2.0
7396,2017,2017-07-14,og,2816.0,,Rosella (subdariffa) petals (org),23.71,1.1,26.0
7425,2017,2017-07-14,og,2816.0,,Rosella (subdariffa) seed (org),4.94,0.5,2.0
7710,2017,2017-09-08,og,2816.0,,Rosella (subdariffa) petals (org),49.27,1.1,54.0
8254,2018,2018-07-17,og,2816.0,,Rosella (subdariffa) petals (org),141.0,1.1,155.1
8511,2018,2018-08-14,og,2816.0,,Rosella (subdariffa) seed (org),23.0,0.5,11.5
8458,2018,2018-09-21,og,2816.0,,Strophanthus (kombe) seed (con),8.0,10.5,84.0
9179,2020,2020-07-24,og,2816.0,,Rosella (subdariffa) petals (org),101.0,1.1,111.1
9774,2021,2021-07-14,og,2816.0,,Rosella (subdariffa) petals (org),53.6,1.1,59.0
