,date_updated,type,og_nr,wc_nr,total_area_(hectare),field_organic_status
946,2017-09-19,og,13005.0,,6.0,Con
953,2017-09-19,og,13006.0,,3.2,Org
956,2017-09-19,og,13007.0,,5.5,Org
961,2017-09-19,og,13008.0,,1.3,Con
970,2017-09-19,og,13009.0,,2.3000000000000003,Con
973,2017-09-26,og,13010.0,,2.9,Org
979,2017-09-26,og,13011.0,,2.0,Org
982,2017-09-26,og,13012.0,,1.9000000000000001,Org
992,2017-09-26,og,13013.0,,2.6,Con
999,2017-09-26,og,13014.0,,2.2,Con
1001,2017-09-19,og,13015.0,,2.5,Con
720,2021-05-05,og,13015.0,,0.8,Mabagrown
9591,2017-09-13,og,13015.0,,0.8,Org
1202,2017-10-14,og,13016.0,,11.0,Org
9626,2017-10-14,og,13018.0,,3.3,Con
1216,2021-05-10,og,13018.0,,7.8,Con
9630,2017-10-14,og,13019.0,,3.8000000000000003,Con
1218,2021-05-08,og,13019.0,,2.9000000000000004,Con
1292,2018-01-16,og,13020.0,,2.7,Con
2903,2021-05-10,og,13021.0,,1.2000000000000002,Mabagrown
1277,2017-10-14,og,13021.0,,3.0,Org
9638,2017-10-14,og,13022.0,,2.3,Con
1232,2021-05-10,og,13022.0,,4.8,Con
1288,2021-05-13,og,13023.0,,2.0,Con
9660,2018-01-16,og,13023.0,,3.5,Con
2923,2021-05-10,og,13024.0,,2.4000000000000004,Con
1239,2017-10-14,og,13025.0,,2.8,Con
9646,2017-10-14,og,13026.0,,3.1,Con
1246,2021-05-05,og,13026.0,,4.6,Con
1248,2017-10-14,og,13027.0,,3.8,Org
1258,2017-10-14,og,13028.0,,4.1,Con
2774,2021-05-04,og,13028.0,,3.6,Con
9652,2017-10-14,og,13029.0,,4.3999999999999995,Con
6384,2021-05-13,og,13029.0,,1.6,Con
1266,2017-10-14,og,13030.0,,2.4,Con
690,2017-09-13,og,13032.0,,2.7,Org
695,2017-09-15,og,13033.0,,3.7,Org
9585,2017-09-13,og,13034.0,,4.0,Org
705,2021-05-05,og,13034.0,,4.0,Mabagrown
710,2021-05-10,og,13035.0,,2.5,Con
9587,2017-09-13,og,13035.0,,3.5,Org
1275,2021-05-13,og,13036.0,,3.5,Con
9654,2017-10-14,og,13036.0,,3.5,Org
715,2017-09-19,og,13037.0,,5.0,Con
227,2017-10-16,og,13038.0,,6.2,Con
233,2017-10-16,og,13039.0,,6.0,Con
301,2017-10-16,og,13040.0,,6.4,Con
237,2017-10-16,og,13041.0,,3.1,Org
243,2017-10-16,og,13042.0,,3.5,Org
247,2017-10-16,og,13043.0,,1.2,Org
254,2020-11-14,og,13044.0,,0.4,Con
253,2017-11-14,og,13044.0,,1.7000000000000002,Con
256,2017-10-16,og,13045.0,,2.4,Org
262,2017-10-19,og,13046.0,,1.0,Con
266,2017-10-16,og,13047.0,,2.2,Con
269,2017-10-16,og,13049.0,,3.1,Org
279,2017-10-16,og,13050.0,,3.3,Con
286,2017-11-14,og,13051.0,,3.9,Con
292,2017-10-17,og,13053.0,,2.0,Con
303,2017-11-14,og,13054.0,,2.4,Org
310,2017-10-16,og,13055.0,,4.0,Con
1158,2021-05-05,og,13057.0,,3.4,Con
9612,2017-10-10,og,13057.0,,3.4,Org
1482,2018-05-14,og,13058.0,,5.7,Org
5881,2021-05-05,og,13058.0,,1.4000000000000001,Con
1162,2017-10-10,og,13059.0,,3.2,Org
5476,2021-05-13,og,13060.0,,1.8,Con
